,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Wages and Income from Work,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Monthly Income From Work (Including Employer CPF) Of Full-Time Employed Residents, Annual",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 01/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Dollar
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2004 ,2003 ,2002 ,2001 ,1999 ,1998 ,1997 ,1996 
Median (50th Percentile),5070,4680,4534,4563,4437,4232,4056,3949,3770,3705,3480,3249,3000,2927,2897,2543,2449,2326,2410,2380,2387,2026,2240,2078,1950
20th Percentile,na,2500,2340,2457,2340,2200,2106,2012,1972,1885,1740,1733,1600,1500,1489,1356,1286,1305,1334,1346,1383,1191,1300,1200,1140
,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are for mid-year. As the income data are captured from a sample survey, the income changes for the 20th percentile nearer the end of the income spectrum tend to be more volatile over shorter (e.g. year-on-year) than longer periods (e.g. 5 or 10 years). Gross monthly income from work refers to income earned from employment. For employees, it refers to the gross monthly wages or salaries before deduction of employee CPF contributions and personal income tax. It comprises basic wages, overtime pay, commissions, tips, other allowances and one-twelfth of annual bonuses. For self-employed persons, gross monthly income refers to the average monthly profits from their business, trade or profession (i.e. total receipts less business expenses incurred) before deduction of income tax. Data exclude full-time national servicemen. Residents refer to Singapore citizens and permanent residents. Before 2009, full-time employment refers to employment where the normal hours of work is 30 hours or more in a week. From 2009 onwards, full-time employment refers to employment where the normal hours of work is 35 hours or more in a week. Data for 2000 and 2005 are not available as the comprehensive Labour Force Survey was not conducted in these years due to the conduct of the Census and General Household Survey by Department of Statistics, Ministry of Trade and Industry.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 26/03/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,
